ricercatore	count
formisano pietro	3
scala felice	3
falcone giuseppe	3
iori ivo	3
brighenti furio	3
caruso sebastiano	3
picarelli luciano	3
grimaldi domenico	3
mautone maria	3
turco maria	3
masullo mariorosario	3
di natale michele	3
cambini carlo	3
mercurio riccardo	3
di stefano anna	3
di toro massimo	3
ranzani guglielmina	3
di vaio claudio	3
mitchell turker	3
bardati fernando	3
lauria francesco	3
ferrara nicola	3
di massa giuseppe	3
bruno ottorino	3
aghemo chiara	3
bianchetti alma	3
pitruzzella giovanni	3
de felice maurilio	3
pagnini maria paola	3
alfani anna	3
langella alessio	3
migliaccio mariano	3
costanzo francesco saverio	3
spina annamaria	3
sciomachen anna franca	3
stacey gauny	3
pilone mirella	3
metelli claudia	3
schoof renatus johannes	3
rizzi nicola luigi	3
mancini marco	3
ciocia maria antonia	3
florio salvatore	3
da settimo passetti federico	3
borino guido	3
russo vincenzo	3
casini alessandro	3
fistetti francesco	3
bonadies francesco	3
pietropaolo concetta	3
verra alessandro	3
pasculli domenica	3
menichetti ezio	3
venuta salvatore	3
solaro roberto	3
eleuteri paolo	3
cimino filiberto	3
mazzoleni stefano	3
stefan scholtes	3
luciani sisto	3
de angelis maria	3
bianco maria luisa	3
barone fabrizio	3
murli almerico	3
caruso tiziano	3
ciofi degli atti claudio	3
spina luigi	3
staiano annamaria	3
patella domenico	3
picozzi maria grazia	3
leaci antonio	3
staibano stefania	3
busetto luigi	3
lanzetta rosa	3
perotto silvia	3
romani francesco	3
masiero antonio	3
landi carmine	3
filippone giovanni	3
contegiacomo alma	3
bertazzoni umberto	3
perniola mario	3
paroncini massimo	3
del monte alfredo	3
todescan franco	3
kazepov yuri albert kyrill	3
martini claudia	3
jon crowcroft	3
elisei rossella	3
monaco roberto	3
rinaudo giuseppina	3
sismondi piero	3
isetta sandra	3
bernelli zazzera franco	3
brugiavini agar	3
iozzi alberto	3
conto' francesco	3
riitano mariagiovanna	3
coletta massimiliano	3
treleani daniele	3
tartaglia piero	3
ghelardini carla	3
julian mark allwood	3
devoto alberto	3
pempinelli flora	3
guidoni paolo	3
guido stefano	3
boffi sigfrido	3
pavone michele	3
belgiorno vincenzo	3
de angelis francesco	3
grizzuti nino	3
feliciello antonio	3
brunone bruno	3
stefani massimo	3
marchetti paolo	3
greco antonio	3
marchetti mario	3
esposito franca	3
ricciardi luigi maria	3
bruno claudio	3
facchetti fabio	3
fattorusso ernesto	3
filla alessandro	3
coniglio antonio	3
de seta cesare	3
tomarelli franco	3
auricchio salvatore	3
gatto barbara	3
de rosa sergio	3
abbruzzese saccardi alberto	3
mandara alberto	3
de lucia paolo	3
de luca nicola	3
van geemen lambertus nicolaas	3
breglia luisa	3
brasili livio	3
ferrero giovanni battista	3
davi' giuseppe	3
gasperi giuliano	3
faedo lucia	3
carbone emilio	3
sforza antonio	3
fuggi amodio	3
tanganelli paolo	3
persico giovanni	3
cassinese antonio	3
acierno domenico	3
finelli roberto	3
baratta alessandro	3
d'auria riccardo	3
